CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
112629,3727,61.52333333333333,73.2787,3523.0,868.5433333333333,72.1807,3523.0,390.27166666666665,72.1986,False,14.117299669502085,6.343474020696754
112649,37376,66.71666666666667,43.548300000000005,8154.0,462.3016666666666,38.4354,37376.0,268.02833333333336,44.347,False,6.929328003997002,4.017411941044217
112655,3523,107.77833333333334,110.4785,3523.0,1295.2066666666665,107.70989999999999,3523.0,433.01666666666665,107.71589999999999,True,12.0173194983531,4.017659702785037
112673,3494,98.45666666666666,76.88189999999999,3494.0,794.4833333333333,66.11280000000001,3494.0,305.93333333333334,70.0342,True,8.069370619900464,3.107289162745032
112676,3727,163.32999999999998,151.1488,3494.0,2047.1933333333334,170.2364,3494.0,758.06,170.39520000000002,False,12.534092532500665,4.6412783934366
112699,3494,154.01333333333332,156.3783,3494.0,1783.8833333333334,148.33620000000002,3494.0,603.8666666666667,148.7021,True,11.58265518136958,3.9208726517184664
112735,8154,2.881666666666667,1.0474,8154.0,8.43,0.6862,8154.0,4.888333333333334,0.8672000000000001,True,2.9253903990746095,1.6963562753036436
112741,3727,77.13666666666667,107.92880000000001,3494.0,2117.76,176.0411,3494.0,707.6333333333333,176.2535,False,27.45464759517739,9.17376085735275
112772,3655,82.11166666666666,77.129,3655.0,929.025,77.2403,3655.0,315.24,77.9192,True,11.314165668703188,3.839162116629793
112795,3494,56.52166666666667,33.7677,3494.0,388.4866666666667,32.2735,3494.0,223.56666666666666,33.3804,True,6.873234452864684,3.955415327455548
112826,37376,70.19333333333334,45.4426,8154.0,510.6716666666667,42.4543,11775.0,255.00833333333333,52.441,False,7.275216069902174,3.6329423497008255
112914,3494,62.79833333333333,45.5079,11775.0,984.38,81.82039999999999,11775.0,621.8516666666667,82.15310000000001,False,15.67525677433053,9.902359404442794
112953,4370,75.34833333333333,103.3057,4370.0,1532.585,127.28710000000001,4370.0,943.37,131.5762,True,20.33999867283063,12.520117675684046
112970,3494,165.28,129.2442,11775.0,1425.965,118.5405,11775.0,637.0216666666668,119.3877,False,8.627571393998064,3.854196918360762
113010,3727,206.72333333333333,226.2968,3494.0,3032.063333333333,252.10770000000002,3494.0,1400.115,270.3221,False,14.667252527532773,6.772892916458391
113016,30057,58.17833333333333,67.4941,4370.0,1247.6483333333333,100.3147,30057.0,615.4666666666667,104.3743,False,21.445240209700064,10.578966969375772
113023,3727,39.17333333333333,28.7455,3727.0,313.005,26.024,3727.0,114.25166666666668,26.4176,True,7.990256977535739,2.9165673927842075
113051,3494,69.17333333333333,78.35860000000001,3494.0,826.0716666666667,68.6489,3494.0,276.575,68.8568,True,11.942053777949114,3.9982893215111797
113087,3727,189.15166666666667,146.4197,3494.0,2354.161666666667,195.7006,3494.0,1184.4983333333332,208.7091,False,12.44589438810126,6.262161757319963
113105,37376,205.04500000000002,172.8304,11775.0,1829.8566666666666,152.15429999999998,11775.0,775.525,153.1556,False,8.924171116909296,3.7822185373942303
113139,3727,39.519999999999996,40.8469,3494.0,2183.1266666666666,181.4427,3494.0,858.9416666666667,194.4479,False,55.241059379217276,21.734353913630233
113172,3523,10.633333333333333,6.857600000000001,3523.0,65.41833333333334,5.444,3523.0,22.404999999999998,5.455,True,6.1521943573667714,2.10705329153605
113184,6732,32.88333333333333,31.0381,6732.0,467.15333333333336,38.8344,6732.0,202.89166666666668,39.052699999999994,True,14.206386213887482,6.170045615813483
113196,37376,160.415,120.3913,11775.0,1615.7949999999998,134.3613,11775.0,727.7283333333332,135.2085,False,10.0725929620048,4.536535444524098
113321,3727,70.265,78.1742,3727.0,2553.8283333333334,212.3499,3727.0,1555.3066666666666,212.966,True,36.345667591736046,22.134870371688134
113384,3727,276.86333333333334,201.1107,3494.0,2933.7,243.88320000000002,3494.0,1404.9333333333334,263.40009999999995,False,10.59620269928605,5.074465139238373
113401,3754,60.94833333333334,74.0589,3792.0,723.3433333333334,60.138400000000004,3655.0,265.73333333333335,64.6209,False,11.868139681150701,4.3599770297246305
113434,3494,124.985,93.9039,3494.0,869.8283333333333,72.3331,3494.0,352.9566666666667,81.2998,True,6.959461802082916,2.8239922123988217
113439,3770,58.60666666666667,41.7464,3770.0,502.26166666666666,41.7449,3770.0,215.4633333333333,41.7453,True,8.570043226026618,3.676430440222955
113467,3727,248.54833333333332,272.08340000000004,11775.0,3554.963333333333,295.5933,11775.0,1821.8466666666668,325.69559999999996,False,14.302905538158239,7.329949238578681
113507,3727,92.25,129.5691,3494.0,1923.4516666666668,159.952,3494.0,668.505,160.1119,False,20.850424570912377,7.246666666666667
