CODCP,facilidad_mas_cercana,t_min,distancia_km
680026,3523,193.99666666666664,150.90789999999998
680030,3727,147.53833333333333,141.8664
680046,3727,163.65333333333334,206.6695
680051,3727,148.14666666666665,194.05110000000002
680071,3727,139.21,86.5443
680114,3727,154.17666666666668,141.0157
680115,3727,137.19666666666666,186.2608
680462,4370,139.025,97.0305
680463,4370,137.36499999999998,96.3615
680464,4370,89.98333333333333,111.61460000000001
680649,4370,33.88,31.5774
680652,10972,4.97,3.1915
680968,3727,74.44833333333332,55.333800000000004
680969,3727,103.33166666666666,116.285
680976,3727,118.14333333333335,165.11020000000002
680989,3494,192.35833333333332,161.24960000000002
680992,3494,194.14833333333334,155.4926
680994,3655,184.255,153.2502
680997,3523,16.418333333333333,16.7402
680998,3523,13.918333333333333,16.937900000000003
680999,3494,256.5566666666667,202.942
681001,3727,276.97833333333335,219.2621
681003,3494,210.87666666666667,176.0517
681025,3727,103.43833333333333,88.98519999999999
681026,3523,70.18833333333333,54.1788
681033,3494,70.99333333333334,54.0994
681039,6919,88.18,66.0781
681055,3727,242.70499999999998,178.7848
681059,6352,18.866666666666667,11.6781
681064,6502,114.82666666666667,67.80160000000001
681065,6502,100.71166666666666,61.949400000000004
681066,6502,105.72833333333332,64.0262
681067,6919,111.275,89.9097
681068,6919,86.25500000000001,59.644
681069,6919,88.18,66.0781
681071,6502,186.74333333333334,104.9517
681080,6919,40.28666666666666,34.5238
681083,6502,30.348333333333336,28.7773
681089,8269,8.01,6.3659
681091,6580,44.684999999999995,46.0192
681727,3494,18.373333333333335,25.577599999999997
681849,3727,34.48166666666667,48.64
681877,3494,121.46166666666666,106.2123
681936,6919,52.17833333333333,29.601599999999998
682066,6732,69.08666666666666,78.3904
682114,3494,66.35333333333332,75.78880000000001
682115,3494,175.91333333333333,136.96429999999998
682117,6359,113.49333333333334,92.47439999999999
682222,3655,102.61833333333334,102.39489999999999
682316,3754,71.105,68.35260000000001
682333,6502,106.435,58.200300000000006
682356,4370,196.86166666666668,156.569
